Headline,Date,Description
Bigg Boss Telugu 3 fame Hema refutes reports of arrest at the pub raid; urges to stop blaming star kids for drug abuse,"Apr 03, 2024","Noted actress Hema, who also appeared in Bigg Boss Telugu season 3, condemned drug abuse by youngsters. Interacting with the media outside Banjara Hills police station, Hema lashed out at reports claiming her presence at the pub."
Rollercoaster chase ends Vellore peddler's drug run,"Feb 18, 2024","A drug pusher from Vellore, Tamil Nadu, was nabbed by Telangana police after a rollercoaster chase in which he twice smashed police barricades, before being pinned down in Nalgonda district. The inter-state peddler, Shakti Tanigai Raia, 43, who also owned a restaurant, managed to hoodwink Andhra Pradesh police, who were waiting in ambush in Guntur."
"Three arrested for selling LSD, ganja in Hyderabad","Jul 12, 2024","Three people, including an employee of an e-commerce firm,were arrested here on Monday by Excise Department officials on charge of illegal possession, transportation and sale of drugs. The officials, acting on a tip off, raided an area in Secunderabad and seized 1.1 kg of dry ganja, 20 grams of Hashish oil, two grams of MDMA, 10 LSD blots and five grams of charas from them, Assistant Excise (Enforcement) Superintendent N Anjireddy said in a press release."
Hyderabad: Gandhi nurse among 10 held for illegal sale of mucor drug,"Jun 11, 2024","Task Force and Special Operations Team (SOT) sleuths of the city have arrested 10 persons, including a Gandhi Hospital nurse, a student, two medical shop owners and a pharmacist, since Wednesday and seized 41 vials of amphotericin-B injection, used in the treatment of mucormycosis infection."
DRI seizes 3.2 kg heroin worth Rs 21 crore from Zambian woman at Hyderabad airport,"Jul 19, 2024","About 3.2 kg heroin, worth around Rs 21 crore in the grey market,was seized from a Zambian woman at the international airport here on Monday, the Directorate of Revenue Intelligence (DRI) said. DRI officers intercepted the woman passenger, who arrived from Zambia via Johannesburg and Doha, a release from the agency said."
"Hyderabad: Nigerian drug peddler, girlfriend arrested","Jul 02, 2024",Excise officers arrested a Nigerian drug peddler and his girlfriend on Monday and recovered 106 gm of cocaine from their possession.
Hyderabad: Excise sleuths stop foreign drug peddlers in their tracks,"Apr 19, 2024","To end the menace of foreign drug peddlers pumping narcotics into the city, the excise department has started seeking cancellation of bail of repeat offenders."
2 held for illegal sale of black fungus drug,"May 26, 2024",
Sushant Singh Rajput drug case: Bombay HC rejects drug peddler Sahil Shah's anticipatory bail plea,"Jun 16, 2024",Bombay High Court on Tuesday dismissed the anticipatory bail plea of alleged drug peddler Sahil Shah in connection with the drug case related to actor Sushant Singh Rajput.
Four peddlers held with hash oil in Hyderabad,"Jan 04, 2024",The Hyderabad Narcotic Enforcement Wing (H-NEW) sleuths arrested four drug peddlers and seized 300 grams of hashish oil along with 400 litres of petroleum ether and a car from their possession in Chikkadpally.
Sandalwood drug case: Cook left behind trail for cops to trace accused Aditya Alva,"Jan 14, 2024","Drug-peddling case accused Aditya Alva, who was on the lam for over four months, landed in police net after his cook made desperate efforts to send a message to his family in Nepal that he is fine."
"Tanzanian arrested for drug peddling, cocaine seized","Jun 18, 2024","Excise sleuths on Monday arrested a drug peddler from Tanzania in Hyderabad and seized three grams of cocaine from his possession. Acting on specific information, the enforcement wing of the excise department laid a trap and arrested John Paul Mbelle, 29, at Langar Houz on Monday."
4 held for illegal sale of black fungus drug,"May 18, 2024",
"Five arrested in Hyderabad with Alprazolam, clandestine labs unearthed","Aug 15, 2024","About 3.25kg of Alprazolam, a pyschotropic drug and an anti-depressant, has been seized in Hyderabad from five people and Rs 12.75 lakh in cash recovered from them, the Narcotics Control Bureau said on Sunday."
ED grills drug case key accused Calvin Mascarenhas again,"Sep 08, 2024",The Enforcement Directorate (ED) on Tuesday questioned key accused Calvin Mascarenhas for six hours on supply of drugs to Tollywood celebrities in the case related to the 2017 drug scandal. ED grilled Mascarenhas again as it could not find corroborative evidence for his earlier statements.
Andhra Pradesh: Four including a VR constable arrested for smuggling Hash oil in Chittoor district,"Apr 13, 2024","Hash oil, a form of narcotic substance predominantly used by drug addicts in the metro cities, has found its way for the first time into the region with peddlers using Puttur town as a transit point for supplying the illegal and prohibited substance to pubs in Chennai, Banglore and Hyderabad cities."
Alprazolam worth ₹3cr seized in raid,"May 25, 2024",
"Hyderabad: Two drug peddlers arrested, cocaine, opium and Rs 1.3 lakh seized","Jun 05, 2024",Excise sleuths arrested two drug peddlers and seized seven grams of cocaine and two grams of opium from their possession on Tuesday.
3 techies held for inter-state drug biz in Hyderabad,"Dec 03, 2024",Excise sleuths arrested three techies for running an inter-state narcotic drug racket and seized 56 blots of LSD along with 236 grams of hashish oil from their possession in the city.
"Hyderabad: 3 held for illegal sale of Remdesivir, 2 vials seized","May 03, 2024","Malakpet police along with South Zone task force arrested three persons for illegally selling Remdesivir injections and seized two vials from them. Acting on a tip-off, police arrested, Md Abdul Nayeem (41), employee of a medical agency from Bibi Bazar, Md Munawar Qadri (24) from Chanchalguda, Md Abdul Osman (22), a cell phone shop worker from Edi Bazar at Malakpet. Cops seized two vials from the accused when they were trying to sell them to customers at exorbitant price."
Rs 20 crore cocaine: Nigerian national among 3 held at Mumbai airport,"Apr 06, 2024","The Directorate of Revenue Intelligence on Tuesday arrested two Telangana natives, and one Nigerian national, at the Mumbai International Airport for smuggling two kg cocaine worth Rs 20 crore from Addis Ababa, Ethiopia."
Drug worth Rs 25L headed for Oz seized in Hyderabad,"May 01, 2024","Sleuths of the Narcotics Control Bureau (NCB), Hyderabad, seized 5kg pseudoephedrine worth Rs 25 lakh from a private courier service office at Lakdikapul and arrested two peddlers from Chennai."
"Taliban link suspected to drug mules caught in Hyderabad, other airports","Jul 22, 2024","A Taliban link to drug smuggling to the West via Hyderabad and other Indian cities has emerged in the probe by the Directorate of Revenue Intelligence (DRI). Heroin consignments are frequently being caught at airports in the past few weeks, with three cases in Hyderabad alone."
800gm ganja & 9 sachets MDMA seized from 5 in city,"May 16, 2024","Chandanagar police arrested five drug smugglers, including a student, and seized nine sachets of MDMA and 800grams ganja from them on Sunday night. A case was registered under NDPS Act."
"Steroids racket busted, two held in Hyderabad","Dec 12, 2024",
"Second hashish oil bust in 2 days in Hyderabad, 3 arrested","Sep 09, 2024",Prohibition and Excise sleuths have arrested three drug peddlers and seized 70 grams of hashish oil and a two wheeler from their possession at Patancheru.
"Nigerian held with 20gm cocaine, 9 ecstasy pills","Apr 28, 2024",
"Hyderabad: Three peddlers, including a cop, arrested","Mar 16, 2024","The Special Operations Team (SOT) of Cyberabad police arrested three peddlers, including a constable and seized 140 kilos of Alprazolam drug used in toddy adulteration. The value of the seized material is Rs 8.5 crore."
Hyderabad: Drug peddlers hide dope in vehicles for essentials,"Jul 02, 2024","Drug peddlers are now using vehicles transporting essential commodities to move contraband into the city. Excise sleuths have found out that several peddlers — many of them from Africa, who had earlier been arrested and are currently out on bail — are sending drugs to their local agents in the city using this method."
"Bengaluru: Hair follicle tests confirm accused took drugs, say cops","Aug 25, 2024","Hair follicle test results of the suspects in two-drug peddling cases with links to Sandalwood confirmed that they had consumed narcotics. Home minister Araga Jnanendra on Tuesday said the samples collected from two actresses in a drug case tested positive at Central Forensic Science Lab (CFSL), Hyderabad."
Drug bust: No chargesheet after 3 years,"Sep 19, 2024",
Hyderabad’s Walter White was paid Rs 5 crore a year to make drugs,"Dec 21, 2024","The PhD holder in Chemistry turned drug manufacturer, Srinivasa Rao, who was recently arrested by the DRI, has made over Rs 5 crore in the span of a year by cooking Mephedrone single-handedly for a Mumbai-based gang."
"Opium peddler arrested, drugs worth Rs 20 lakh seized","Nov 26, 2024",Task Force police on Monday arrested a peddler and seized 4.2 kg opium from his possession at Bowenpally.
Ex-Ranji Trophy cricketer from Andhra Pradesh held in bid to dupe firm,"Nov 17, 2024",A former Ranji Trophy cricketer from Andhra Pradesh was arrested by Task Force sleuths on Monday for allegedly attempting to extort money from a firm by impersonating as personal assistant (PA) of IT minister KT Rama Rao.
Nigerian peddler caught with 178 grams of cocaine in Hyderabad,"Jan 08, 2024",Hyderabad prohibition and excise sleuths arrested a Nigerian drug peddler and seized 178 grams of cocaine from him.
'Rags to riches': MDMA pushers to Hyderabad led plush lives,"Feb 16, 2024","The recent crackdown on the MDMA peddling network has brought to light interesting details about the Mumbai drug traders and their high-flying lives. Jatin Bhalchandra Bhalerao, accused of supplying MDMA to Hyderabad based sub-peddlers, for instance, has been operating the network while living in luxury hotels, police said."
"3 peddlers held, drug worth Rs 15 lakh seized","Jun 25, 2024",
Drugs case: Sushant Singh Rajput’s friend held in Hyderabad,"May 29, 2024","Nearly a year after actor Sushant Singh Rajput’s mysterious death in his Mumbai flat, his friend and flatmate Siddharth Pithani was arrested by the Narcotics Control Bureau (NCB) in Hyderabad on Wednesday in the drugs case."
"Cops seize 18 gram MDMA, five held in Hyderabad","Feb 06, 2024",Police arrested five persons for their alleged involvement in a drug racket near IDL lake in Kukatpally on Saturday.
Hyderabad: Drug peddler arrested at Banjara Hills,"Nov 26, 2024",
'ISIS drug' Tramadol smuggled to war-torn Sudan from Andhra Pradesh & Telangana,"Apr 26, 2024","Tramadol, the pain-relieving opiate that was notoriously used by ISIS fighters to stay awake for long hours, may have been illegally exported from manufacturers in Telangana and Andhra Pradesh to war-torn countries, including Sudan."
"Gauri Khan goes back to work, shares first IG post ever since Aryan Khan’s arrest in cruise ship drug case","Dec 16, 2024","Shah Rukh Khan’s wife and ace Interior designer Gauri Khan who has stayed away from social media ever since her son Aryan Khan was arrested in a drugs related matter, finally took to her handle on Wednesday and dropped her first post in a long time. Aryan was arrested in a cruise ship drugs case and is currently out on bail."
Indore cops nab Mumbai gangland duo on ecstasy drugs trail,"Jan 25, 2024",The Indore crime branch has made two big arrests in Mumbai in the record 70kg ecstasy seizure case of January 5.
Hyderabad: 49% decline in crime against women,"Oct 07, 2024","The crime against women witnessed a decline of 49 per cent in the city, compared to last year, however, gambling cases are on the rise, said Anjani Kumar, Commissioner of Police, Hyderabad on Tuesday."
"Tripura man arrested for trying to open Indigo flight door mid-air, injured in scuffle","Sep 21, 2024",A senior police officer in Agartala said that Biswajit Debnath was traveling from Hyderabad via Guwahati to Agartala by Indigo 6E457 in Seat no 1D. When the flight was preparing for landing he suddenly ran away to the door and tried to open it but was prevented by the crew members leading to a scuffle.
Two siblings peddling ganja arrested,"Jan 20, 2024",
Bombay HC rejects bail plea in drugs case,"Nov 29, 2024",The Bombay high court has rejected the bail application of Shahid Sayed Ahmed Hasan who was arrested last year with 85gm ephedrine and 121gm Norephedrine.
"Hyderabad: Techie and youth arrested, ganja oil worth Rs 7.8 lakh seized","May 05, 2024",
Two drug peddlers arrested in Hyderabad,"Jul 14, 2024",
Mumbai Police seizes Mephedrone valued Rs 300 crore in ongoing operation; arrests 12 individuals,"Oct 06, 2024","The seizure of 151.305 kilograms of mephedrone, valued at Rs 300.26 crore, was the result of a raid on a facility located in MIDC Shinde Gaon in Nashik district."
"‘Man, his mother drugged wife to cause abortion’","Nov 23, 2024",Kanchanbagh police arrested a private employee and his mother for causing the miscarriage of his wife without her consent on Tuesday. Police also booked the sister of the main accused. The accused Syed Mahmood of Kanchanbagh married Tabassum two and half years ago.
Four held for Covid-19 drug advertisement in Hyderabad,"Apr 17, 2024","A civic contractor and three others were arrested by Jubilee Hills police on Thursday for allegedly advertising online about the sale of a medicine to treat Covid-19 by claiming it was developed by Bathini brothers, who are famous for providing fish medicine to asthma patients. Police said that based on a complaint given by Bathini Harinath Goud, four persons -- Raj Kumar, P Subba Rao, N Uday Bhaskar and M Mahindra — were arrested while another accused Satish Reddy is absconding. The accused collected money from various persons and supplied some spurious products."
"Hyderabad: Three techies held; LSD, hashish oil seized","Dec 02, 2024",
"Tollywood's Drugs Case: Inquiry of Kelvin and Nandu ends, Rana Daggubati to appear before ED today","Sep 08, 2024","ED officials in Hyderabad have questioned film actor Nandu and drugs supplier Kelvin in the ongoing drugs, and money laundering case. Nandhu has reportedly submitted all the bank details requested by the ED and he was reportedly probed into the suspicious transactions into his accounts. Nandu was supposed to appear before ED on the 20th of this month, but due to his film commitments and dates issues, Nandu had requested the ED to appear before, to which the ED had agreed."
Bengaluru's hydro ganja bust: Trio from Hyderabad,"Dec 03, 2024",Three of 27 students and young professionals arrested by Narcotics Control Bureau (NCB) in Bengaluru in two months for consumption or peddling of 'hydro ganja' and other narcotics are from Hyderabad.
"NCB busts drug smuggling to Oz via courier, arrests two","Aug 05, 2024",
Hyderabad: Another woman peddler held with 3.2 kilos heroin at Rajiv Gandhi International Airport,"Jul 20, 2024","Directorate of Revenue Intelligence (DRI) sleuths arrested a woman peddler from Zambia who arrived at RGI Airport via Doha, on Monday and seized 3.2 kilos heroin worth Rs 21 crore. Since June, DRI sleuths had arrested four African peddlers at the airport and seized 18 kilos of heroin worth Rs 126 crore."
Hyderabad: Five held for illegal sale of Covid-19 antiviral drugs,"Jul 25, 2024","Special Operation Team, Madhapur zone police arrested a gang of five persons for selling antiviral medicine for Covid-19 patients. Police recovered 15 Remdesivir injections, one Actemra and Rs 49,000 from their possession."
Drug bust: Hyderabad police draw a blank at two pharma units,"Jan 07, 2024",
"After marijuana, cocaine favourite with drug abusers in Hyderabad","Dec 23, 2024","After marijuana, cocaine seems to be the favourite drug with substance abusers in Hyderabad. Apart from these two narcotic substances, addicts in the city have been using LSD, Ecstasy, opium, heroin, ketamine and hashish, according to sources in enforcement agencies."
Drugs worth Rs 3 crore seized till August,"Oct 18, 2024","The seizure of 114kg drugs worth over Rs 3 crore during the first eight months of 2022 has caused eyebrows to be raised over the flourishing narcotic trade in the tiny tourism-dependent state, even as police reiterate their zero-tolerance policy toward it. In 2021, a total 135kg drugs was seized."
"Telangana: Man held with MDMA drug, got drug from Rajasthan supplier","May 01, 2024","A 40-year-old man was nabbed by Special Operation Team (SOT), Cyberabad, on Saturday as he was allegedly found in possession of 70gm of banned MDMA drug. Madhapur police said when M Veerendar was waiting to meet a buyer t 9.30am, police nabbed him near Cyber Towers."
Film producer arrested for peddling cocaine in Telangana; celebrities under lens,"Jun 15, 2024","A producer of Rajinikanth-starrer 'Kabali', who also distributed some big-budget south Indian films, has been arrested by Cyberabad police for allegedly peddling drugs at Kismathpur Crossroads in Rajendranagar. Police seized cocaine worth Rs 10 lakh from his possession. They are also verifying the role of a few other celebrities, who were in regular contact with the producer."
"Hyderabad: Now, peddlers dial food apps to supply drugs, hoodwink cops","Dec 23, 2024","Peddlers in the city are coming up with novel ways such as packing drugs along with idlis and getting it delivered to clients without direct contact. In two such instances recently, cops stumbled upon food and grocery delivery service providers being used by peddlers to deliver the contraband in the guise of supplying food parcel."
DCA cracks whip on oxygen distributors in Hyderabad,"Jul 12, 2024",
Cruise drug bust: NCB witness Gosavi arrested in Pune in 2018 cheating case,"Oct 29, 2024",
3 held with MDMA and ecstasy pills in Telangana,"Mar 07, 2024","In separate incidents, Rachakonda and Cyberabad police arrested three peddlers and seized 50gm of MDMA and 10 ecstasy pills from their possession."
PhD scholar arrested for illegally manufacturing mephedrone,"Dec 13, 2024",
Peddler & 2 customers held with heroin,"Mar 05, 2024",
Hyderabad Narcotics Enforcement Wing seizes 12 gm MDMA worth Rs 1.2 lakh,"Nov 16, 2024",The Hyderabad Narcotics Enforcement Wing (H-NEW) and Falaknuma Police arrested a drug peddler from Sudan and seized 12 grams of MDMA worth 1.2 lakh from him.
Hyderabad police invoke PD Act against Edwin Nunes,"Dec 13, 2024","A month after Goa-based Curlie's shack owner Edwin Nunes was arrested, Hyderabad police on Monday invoked the Preventive Detention (PD) Act against the alleged drug supplier and his associate Priteesh Borkar. By invoking the Act, the accused cannot come out of jail for a year. Both the accused, who were out on bail, were caught and sent to Chanchalguda jail."
Hyderabad: DRI seizes over 50 kg narcotic drugs worth Rs 6 crore buried underground,"Aug 19, 2024","Continuing its crackdown on illegal drugs manufacturing, the Directorate of Revenue Intelligence on Wednesday said it has unearthed 52.5 kg of illegal narcotic drugs valued at over Rs 6 crore which was buried underground in the premises of a building on the city outskirts."
Ketamine maker held from home; 26kg of drug and machine seized,"May 03, 2024",
"In Telangana, four held for selling Covid drugs at higher rates","Jul 21, 2024",Four persons were arrested for selling Covid-19 medicines at higher price than the maximum retail price (MRP) on Monday by the special operations team of Rachakonda police.
"Inter-state racket busted; five arrested, 82 kilo ganja seized","Jun 12, 2024",
Hyderabad: Four arrested for selling Remdesivir injections at exorbitant prices,"Apr 20, 2024",
Key drug peddler Tony granted bail,"Aug 18, 2024","Eight months after he was arrested by Hyderabad police for being a key drug peddler, Chukwu Ogbonna David alias Tony was released on bail from Chanchalguda jail. Jail authorities said that Tony was released on Wednesday evening."
Hyderabad: Pharmaceutical company owner's son caught for selling hash oil chocolate bars,"Nov 06, 2024",The son of a pharmaceutical company owner was arrested by Hyderabad Narcotic Enforcement Wing (H-NEW) in the city while allegedly selling chocolate bars laced with hash oil.
Hyderabad: Two arrested for selling Remdesivir injection at exorbitant price,"Apr 18, 2024",
"Cops will write to drugmakers, check if Hyderabad raid linked","Jul 29, 2024",Police said they will write to the manufacturers of Remdesivir and other medicines to find out how the five accused managed to get hold of large quantities of the experimental Covid-19 drug.
Former Facebook employee-turned-drug peddler held for home delivering contraband in Hyderabad,"Nov 21, 2024",The excise enforcement team has arrested a former Facebook employee who turned narcotics peddler for home delivering contraband to his clients and seized 830 grams of hashish oil along with 1.2 kilo ganja from his possession. The accused worked as a Swiggy food delivery executive after he lost his job in Facebook.
"Bengaluru: 4 women, foreigner held in drugs case","Sep 28, 2024","Continuing their investigation into a drug-peddling case in which a disc jockey was arrested in June last week, CCB cops nabbed four women from Puttaparthi, Andhra Pradesh, on September 24."
Telangana: Contraband worth Rs 20 lakh seized in Kandukur; one arrested,"Mar 19, 2024",
"Citing tech issues, Hyderabad FSL returns actors' hair samples","Oct 03, 2024","The Hyderabad Forensic Science Laboratory (FSL) has returned the hair follicle samples of actresses Sanjjanaa Galrani and Ragini Dwivedi to CCB police, citing technical problems. Sleuths will resend them with some packaging modifications."
"Telangana: Peddlers go to Bengaluru on pass, get cocaine","Jun 03, 2024","In the first such instance after the lockdown was announced in March, 54 gm of cocaine was seized from two peddlers at Lothukunta in Alwal on Tuesday. Interestingly, the peddlers had managed to obtain an inter-state travel pass from Telangana police and got the cocaine from a Bengaluru-based Nigerian. Both the accused were arrested."
Hyderabad: Two held for illegal sale of Covid drugs,"Jul 18, 2024",Task Force sleuths raided two pharmacy stores in Chilkalguda and Ramgopalpet on Friday and arrested two persons for illegally procuring and selling medicines used to treat Covid-19 patients.
Drug peddler held in Mettuguda,"Apr 03, 2024","Gopalapuram police arrested a peddler and seized 60 grams of ganja from his possession on Saturday. The accused, Dinesh Aavji, 20, is a daily wage worker from Mettuguda. Recently, he started procuring ganja from Bidar-based peddlers and selling it to customers here."
Hyderabad: Three from Mumbai held with 5 gm MDMA,"Nov 25, 2024","Three persons in possession of MDMA were arrested by the enforcement wing of excise department on Wednesday.Excise officials said that one Gulhasan Khan was caught at Jubilee Hills Road No. 36. From him, 5gm of MDMA was seized. During questioning, police found out that Khan is a resident of Mumbai. He disclosed that he came to city along with two others."
Ganja worth Rs 2cr seized on its way to Maharashtra,"Aug 16, 2024",
"Cyberabad police bust inter-state drug racket, seize cocaine worth Rs 1.30 crore","May 06, 2024",Cyberabad police have busted an inter-state drug racket and arrested four people. From their possession police recovered 303 grams of cocaine worth Rs 1.30 crore. Investigators found that the accused supplied drugs even at some private parties organized in the city.
Drugs Racket: South actress Shweta Kumari arrested by NCB in Mumbai,"Jan 05, 2024","The NCB has detained Kannada actress Shweta Kumari during a raid at a hotel in Mumbai, allegedly seized 400 gram of Mephedrone (MD) and searched Crown Business Hotel situated at Mira-Bhayander area. Post the operation, the 27-year-old actress who is a resident of Hyderabad was taken into custody."
Telangana HC verdict in drugs case today; 9 accused seek quashing of FIR,"Feb 01, 2024",Justice K Lakshman of the Telangana high court on Monday heard the petition of Hyderabad police seeking custody of the nine accused persons arrested in a narcotic drugs case and said he would pronounce his decision on Tuesday.
Sushant Singh Rajput case: Here’s how Siddharth Pithani’s Instagram post helped NCB in arresting him,"Jun 01, 2024","Late actor Sushant Singh Rajput passed away on June 14 last year. Since then, the CBI and NCB have been investigating his death case. Recently, Sushant’s roommate, Siddharth Pithani was arrested by the NCB from Hyderabad in connection with the drug case related to the actor’s death."
"250kg drugs worth Rs47cr seized by DRI, 3 held after raids in Mum, Hyderabad","Aug 18, 2024",
2 Nigerians among 3 held for 'peddling' cocaine in Hyderabad,"Mar 18, 2024","Mumbai, and later they shifted to Hyderabad, it added. VVK."
Hyderabad’s drug bust leads city parents to introspect - ‘we are to be blamed for our kids getting addicted to drugs’,"Jul 07, 2024",
Hyderabad: Rave parties in star hotel suites stun cops,"Sep 11, 2024","Rave parties in confines of star hotel suites, away from prying eyes of law-enforcement officers, seems to be the trend among richie-rich addicts. This startling revelation came to light during investigation into a recent drug bust by Hyderabad-Narcotics Enforcement Wing (H-NEW)."
"Hyderabad cop booked for rape on the run, suspended","Jul 10, 2024","A high-profile city cop, K Nageswara Rao, who spearheaded the drug bust at Pudding and Mink pub at Banjara Hills three months ago, was charged with rape after a 32-year-old housewife alleged she was sexually assaulted by him at her Vanasthalipuram residence late Thursday. The alleged predator was the same man in khaki who arrested her husband in a fraud case a few years ago and had been stalking her since then."
"International drug racket busted, narcotics worth Rs 9 crore seized","Dec 13, 2024","An international narcotics peddling racket was busted and two persons from Tamil Nadu were arrested at a lodge in Mallapur on Monday. Rachakonda police also seized 8.5 kilo pseudoephedrine, a precursor used for manufacturing methamphetamine, concealed in apparel packaging boxes meant to be shipped to Australia and New Zealand via Hyderabad and Pune through air cargo. The offenders allegedly confessed to have shipped about 70 kilos of the contraband, worth 70 crore, abroad this year."
Hyderabad: 7 arrested for selling injections at higher rate,"Jul 18, 2024","Seven members who were illegally selling anti-viral drugs, used for treating Covid-19 patients, at an inflated price, were arrested by West Zone Task Force police and seized ten injections from them."
"Drug peddler arrested, 150gm opium seized","Sep 24, 2024",
Goa: Forensic lab raises hopes of quicker end to narco cases,"Mar 01, 2024","The Goa state forensic science laboratory (GSFSL) has started conducting tests on synthetic drugs in Goa, a development that is likely to speed up investigations in narcotic cases and help taking them to their logical conclusion in a time-bound manner."
"DRI busts 2 labs, 25kg mephedrone worth Rs 50 crore seized in Hyderabad","Dec 27, 2024","The Directorate of Revenue Intelligence (DRI) on Monday said that it has busted a mephedrone manufacturing racket at two different labs in Hyderabad and seized 25kg of the narcotic substance, which is valued at more than 50 crore in the grey market."
"Nigerian gets drugs from Mumbai kingpin, arrested","Sep 08, 2024",
Hyderabad: 3 peddlers held; MDMA & ganja seized from flat,"Nov 08, 2024","Three alleged drug peddlers were arrested and 3.5gm of MDMA and 55gm of ganja was recovered from a flat in Kondapur. The accused were identified as G Arun Kumar, 23, a pharmacy student from Bachupally, P Yashawanth, 24, a student from Panjagutta, and Issac Joy, 24, student from Masab Tank."
"In just 6 mths, over 92kg of narcotics seized in Goa","Jul 05, 2024",
"Nigerian gang busted, woman aide arrested with cocaine, brown sugar","Jul 25, 2024",
"Hyderabad police dig in heels in Goa, net druglord Edwin Nunes","Nov 06, 2024","Goa druglord Edwin Nunes, 45, who eluded Hyderabad police for two months, was finally nabbed by Hyderabad-Narcotics Enforcement Wing (H-NEW) late Friday after waiting in ambush for several days in Goa. Edwin was brought to Hyderabad on Saturday."
Pithani abetted Rajput’s drug habit: NCB,"Jul 13, 2024","The NCB, in its charges filed Tuesday against actor Rhea Chakraborty, claimed that between March and December 2020, all 35 accused in the Sushant Singh Rajput drug case entered into a criminal conspiracy to finance drug trafficking, including procuring, sale, transport and distribution of"
"Ghana native, 2 others held with cocaine in Hyderabad","May 25, 2024",hyderabad three persons including a ghanaian were arrested on monday night and 56 grams of cocaine seized from them one of the accused is the driver of a citybased businessman who was previously arrested by punjagutta police in the drug bust related to nigerian peddler tony the mobile phone of the ghanaian peddler has been seized by the excise team to zero in on suppliers and on specific information the hyderabad district.
Bala Murugan shipped charas in apple crates across India,"Dec 08, 2024","Hotelier Bala Murugan from Goa, who was nabbed by the Hyderabad- Narcotic Enforcement Wing (H-NEW) based on the confession of alleged drug supplier Edwin Nunes, used to smuggle charas from Himachal Pradesh, investigation has revealed. The drug was concealed in apple crates and shipped across India."
"AP: As cops strengthen anti-drug drive, more traffickers come under scrutiny","Nov 19, 2024","Owing to anti-drug enforcement drives, Andhra Pradesh saw a 119% increase in cases registered under Narcotic Drugs and Psychotropic Substances Act, 1985, and an 86% increase in the number of those arrested this year compared to 2020, according to official data from AP Police."
"Drug hub unearthed at Bolarum, 2 arrested","Nov 16, 2024","Acting on specific intelligence, the DRI sleuths raided a chemical factory at Bolarum industrial area on Tuesday."
"Hyderabad: Task force arrests 2 peddlers, seizes 90g of mephedrone","Sep 12, 2024",The city’s Task Force arrested two peddlers and seized 90 grams of mephedrone and three cell phones from their possession.
"Hyderabad man held in Internet pharmacy racket, Rs 3.17 crore cash seized","May 08, 2024",The NCB on Sunday said it has arrested a Hyderabad-based man and seized Rs 3.71 crore cash as it claimed to have unearthed an illegal Internet pharmacy that shipped narcotics to the US and some other countries.
4 held with brown sugar in Hyderabad,"Mar 20, 2024","The Special Operation Team (SOT), Rachakonda, on Saturday busted a drug peddling racket by arresting four persons and seizing brown sugar from their possession."
Hyderabad drugs case: IBM techie among five arrested for having ganja,"Jul 22, 2024",
Hyderabad: 4 held with ganja worth Rs 1.2 crore,"Oct 08, 2024","Nalgonda police arrested four drug peddlers, Mohammad Hyder Ali from Kalapathar, Naseeruddin Asif, from Ameerpet, Venkat Rathod, from Bidar and G Manoj, from Begum Bazar at Chityal and seized 862.3 kilo ganja worth ₹1.2 crore from their possession."
3 more held in drugs case,"Feb 05, 2024","Following the crack down on various accomplices of Mumbai-based drug peddler Tony in the last few days, Hyderabad police on Friday arrested three more persons, including a drug peddler."
"Hyderabad drugs case: 240 kg ganja seized, two drug peddlers arrested","Jul 22, 2024",
"Drug racket busted, peddler held with 78 LSD blots, ganja","Sep 08, 2024",Ghatkesar excise sleuths along with Malkajgiri district task force team conducted a joint raid on a duplex house at Siddharth Nagar colony in Dammaiguda and busted a narcotics peddling racket and arrested an offender in possession of synthetic drugs and ganja.
Cops to seek cancellation of Tony’s bail,"Nov 12, 2024","After Mumbai-based drug peddler Chukwu Ogbonna David alias Tony failed to comply with bail conditions, the Punjagutta police are planning to approach Nampally court to seek the cancellation of the a Nigerian national’s bail."
Pub case: 2 in police custody,"Apr 15, 2024","Banjara Hills police on Thursday took custody of Anil Kumar and Abhishek Vuppala, who were arrested in the Pudding and Mink pub drugs case . A local court granted police four-day custody of the two accused on Wednesday."
"250kg drugs worth Rs 47 crore seized by DRI; three held after raids in Mumbai, Hyderabad","Aug 18, 2024","Three days after Directorate Revenue Intelligence (DRI) busted an international drug-trafficking racket with seizure of heroin worth Rs 1,000 crore, it unearthed another inter-state drug cartel and seized 250kg of synthetic drugs worth Rs 47 crore and arrested three drug-traffickers on Sunday."
Drug inspector’s Rs 1 lakh Diwali ‘gift’ lands her in ACB trap,"Oct 13, 2024","For giving a positive inspection report, a drug inspector allegedly demanded a gold necklace as bribe from a blood bank in Bowenpally."
"Mumbai peddler who ran drug racket in Hyd invested gains in stocks, crypto","Nov 07, 2024","Mumbai-based alleged drug peddler Apurva Mataprasad Upadhyay, who was caught along with Nigerian national Mohammed Toiru Bakari in a drug bust, reportedly invests his share of ill-gotten money in stock trading and crypto currency, hoping to get higher returns."
"Hyderabad: Police seize 102kg ganja, 4 held","Jul 24, 2024",The South Zone Task force team arrested four drug peddlers who were allegedly involved in transporting 102 kilograms of ganja.
"4 peddlers arrested, 12gm heroin seized","Dec 01, 2024",Four interstate drug peddlers were arrested and 12 grams heroin seized from them on Wednesday by the SOT of LB Nagar along with Saroornagar police. Two of the accused are from Bengaluru who brought the contraband from Karnataka to hand it to their two partners in city.
